"","Name","Code","rating","rating2","DSP","DInd","EPS","PER","BPS","PBR","ROE","ROA","CFO","CFPS","PCFR","EBIT","EBITDA","EV","EVperEBIT","ICR","FOCF","SP01","SP02","SP03","SP04","SP06","SP07","SP08","SP09","SP10"
"384","京成電鉄","9009","A","+","NonSP","General",0.000187545837005876,173024.36843204,0.00229708994807964,14126.5691520387,8.53981903559601,3.58999353834471,9282,5.38364143834404e-05,602751.880332902,39910,70641,5.59474e+11,14018391.3806064,13.1818181818182,9282,0.0183928362657113,7.1439107600402,0.0183928362657113,0.0183928362657113,4.78393803505911,28.7977986139421,2.13822662737744,3.78467720332173,0.0967857714488037
"385","富士急行","9010","BBB","+","NonSP","General",6.79241650019355e-05,744948.428862661,0.000449706073116355,112517.937881857,15.6402080886055,3.66925522386591,2888,5.261936387489e-05,961623.179639889,4605,12116,2.77717e+11,60307709.0119435,7.84842105263158,2888,0.0375459899374667,6.34854737537141,0.0375459899374667,0.0375459899374667,7.08,25.5073684210526,0.151226560704082,0.397885126925224,0.17594467581095
"386","東日本旅客鉄道","9020","AAA","","J1","General",0.00186168478807321,39104.3642115945,0.0067667154231815,10758.5431700882,27.7547734205592,7.89095847885138,189968,0.000502650738597696,144832.175524299,792278,1272308,2.75135e+12,3472707.81215684,11.5983548456225,189968,0.0298736070657006,4.99804921449838,0.0298736070657006,0.0298736070657006,4.13152992763299,20.9733775118276,19.8367050575864,31.8554832248373,0.276498799118027
"387","JR東日本","9020","A","+","SP","General",0.00186168478807321,39104.3642115945,0.0067667154231815,10758.5431700882,27.7547734205592,7.89095847885138,189968,0.000502650738597696,144832.175524299,792278,1272308,2.75135e+12,3472707.81215684,11.5983548456225,189968,0.0298736070657006,4.99804921449838,0.0298736070657006,0.0298736070657006,4.13152992763299,20.9733775118276,19.8367050575864,31.8554832248373,0.276498799118027
"388","西日本旅客鉄道","9021","AA","+","NonSP","General",0.00143591458937097,41207.1863034141,0.00499665768588519,11841.9158805188,32.2119228902328,7.89607099048931,103295,0.000539866046112959,109601.26206496,309308,482776,1.13213e+12,3660202.77522728,13.4314348570032,103295,0.0409345578100814,5.22689197474605,0.0409345578100814,0.0409345578100814,6.04986555854314,23.6018577364947,0.344375019484019,0.537509519334827,0.283880927283666
"389","東海旅客鉄道","9022","AAA","","NonSP","General",0.00130376699029126,121609.153461218,0.0178961601941748,8859.44237644947,7.37336702800126,2.79755884408622,169354,0.000822106796116505,192858.155107054,353348,552710,3.26613e+12,9243380.46345246,3.39004102240454,-300831,0.0286372798355023,10.6995712037054,0.0286372798355023,-0.0508696666756852,3.13763332281477,6.97645945093089,0.429071895297851,0.671157972452299,0.0934942355258409
"390","JR東海","9022","A","+","SP","General",0.00130376699029126,121609.153461218,0.0178961601941748,8859.44237644947,7.37336702800126,2.79755884408622,169354,0.000822106796116505,192858.155107054,353348,552710,3.26613e+12,9243380.46345246,3.39004102240454,-300831,0.0286372798355023,10.6995712037054,0.0286372798355023,-0.0508696666756852,3.13763332281477,6.97645945093089,17.4570426362334,27.3064571908503,0.0934942355258409
"391","西武ホールディングス","9024","A","-","NonSP","General",0.000222498455155231,55326.2268334028,0.00119236851012165,10323.9895179252,24.0106491582761,4.23727566195289,24264,7.50132349018552e-05,164104.374596109,87703,165767,3.98183e+11,4540129.75610869,7.22662917963651,24264,0.0184825058329125,7.91960402251353,0.0184825058329125,0.0184825058329125,3.43638919570238,16.6449442715132,0.260199192431044,0.491801187322176,0.231066743598458
"392","鴻池運輸","9025","A","-","J1","General",0.000156376086560081,80638.9280956658,0.00184009668979602,6852.90075783889,8.76963221899463,3.44129398217915,14465,0.000253983841465481,49648.8277649499,13631,23084,71817029362,5268654.49064632,34.9254901960784,1800,0.0939291813583205,6.67124415179345,0.0939291813583205,0.0116883875869324,57.7254901960784,90.5254901960784,0.696845764531466,1.18010326670416,0.133395312423546
"393","西日本鉄道","9031","A","+","NonSP","General",0.00015859337829677,164950.140295566,0.00214145163419854,12216.0125319807,7.66700374029898,1.7781758791982,9939,0.000125239121793389,208880.417120435,16304,39866,2.07606e+11,12733439.6467125,6.293,9939,0.0184788550137769,13.4916470175087,0.0184788550137769,0.0184788550137769,5.9695,19.933,0.803390164580664,1.96442298216222,0.0930341374342002
"394","近鉄グループホールディングス","9041","BBB","+","NonSP","General",0.00043797386623236,84137.4402472906,0.00177536106672003,20756.3411695628,26.046881579563,4.27125062914056,25470,0.000133587142960759,275849.899797801,97051,180618,7.0259e+11,7239389.59928285,10.6186419125127,25470,0.0157557469504557,8.95012125037372,0.0157557469504557,0.0157557469504557,4.23880976602238,22.9677009155646,1.49606141419124,2.78426415501534,0.260963794839666
"395","阪急阪神ホールディングス","9042","AA","-","J1","General",0.000161289824656256,199950.617273791,0.00357865362421241,9011.76905800645,4.72962609741556,1.56476771709421,32501,0.000127815097436252,252317.610727362,79769,137271,8.20057e+11,10280397.1467613,4.61598199212155,32501,0.0189948581040091,12.4647012114722,0.0189948581040091,0.0189948581040091,4.6579628587507,15.4497467642093,2.98302232526831,5.1333532777383,0.0863461129419584
"396","南海電気鉄道","9044","A","-","J1","General",1.05553278806702e-05,2194152.58927318,0.00228010073080787,10157.4459790617,0.485598377281947,0.124398661857001,21338,0.000188161726247069,123085.605462555,12290,43820,2.6264e+11,21370219.6908055,0.288503253796095,21338,0.0303243043515334,16.0579643998174,0.0303243043515334,0.0303243043515334,6.14292600626657,10.5615811038805,0.994336569579288,3.5453074433657,0.0477678536725667
"397","京阪ホールディングス","9045","A","","J1","General",8.63206103144577e-06,3475415.64994882,0.0021964045159798,13658.6861763109,0.399887032936448,0.127838251245998,15282,0.000135020631200158,222188.266588143,8768,32635,3.39548e+11,38725821.1678832,0.468360498561841,15282,0.0296362663191455,15.8005821970277,0.0296362663191455,0.0296362663191455,8.32598274209012,15.6447746883988,0.215833005120126,0.803342851516345,0.0348868901608068
"398","名古屋鉄道","9048","A","+","NonSP","General",0.000114514086203621,160591.597153385,0.00207173648377404,8876.61154979485,6.05486337916482,1.89105984144481,19685,0.000100075906189491,183760.514395733,38347,87032,3.61733e+11,9433149.92046314,6.97152584339214,19685,0.0251206262226924,9.00380319882342,0.0251206262226924,0.0251206262226924,7.09254100897555,26.9365521510368,1.26207872564508,2.86440231700895,0.090664169956012
"399","山陽電気鉄道","9052","BBB","+","NonSP","General",3.71687314419435e-05,520329.83773494,0.00187375188071542,10321.5373385593,1.98365278906362,0.833291501430651,2020,9.04588403767781e-05,213798.893722772,2581,6544,43187376532,16732807.6450988,3.30677290836653,-3451,0.0349710882587168,8.82671149144254,0.0349710882587168,-0.0597451611786295,9.04780876494024,26.0717131474104,0.454001759014952,1.15109938434477,0.061919727466833
"400","丸全昭和運輸","9068","A","-","NonSP","General",0.000496971693959359,69420.4527528309,0.00489296867525898,7050.93416486545,10.341833747249,6.48674662174998,11376,0.000551888909652642,62512.5806962025,13342,17499,71114311800,5330108.81427072,58.5371428571429,887,0.199358603648599,3.26092919595405,0.199358603648599,0.0155442230517148,66.0057142857143,99.9942857142857,0.916472042863031,1.2020195081742,0.138005223552533
"401","センコーグループホールディングス","9069","A","-","NonSP","General",0.00014777163647725,74845.2156561366,0.000952938107384528,11606.2102189991,16.7700480797768,5.19275835133024,31858,0.000208287266387586,53099.741485969,30595,51067,1.69165e+11,5529171.43324073,19.3014517506405,-1760,0.110042624332484,5.66914054085809,0.110042624332484,-0.00607932132667371,28.2058070025619,43.6097352690009,0.426405206896071,0.711725272121643,0.218586457570507
"402","トナミホールディングス","9070","A","-","NonSP","General",0.000740497065314238,66171.7679856115,0.00791045107929906,6194.33702437382,9.40460081190798,4.79383460342095,9581,0.000981558160317615,49920.6282225237,9570,14899,47828953900,4997800.82549634,29.2631578947368,5065,0.13024210540625,4.93744546613867,0.13024210540625,0.0688525481560023,39.7894736842105,60.3198380566802,0.702282233800543,1.09334409627945,0.128941854903361
"403","福山通運","9075","A","+","NonSP","General",0.000407743446102368,100430.798806069,0.00490185082711404,8353.98739053618,8.43568807986081,4.81858269251552,33219,0.000595638941779884,68749.7024248171,29327,46173,2.2838e+11,7787363.18068674,103.835616438356,15548,0.167312196227555,4.3000238234466,0.167312196227555,0.0783097030899796,152.684931506849,210.835616438356,1.01649856157499,1.60039513361755,0.110769079687866
"404","セイノーホールディングス","9076","AA","-","NonSP","General",0.000132998020322469,104437.644758336,0.00203502716487334,6825.46171361036,6.58803606354052,4.10875764413973,38685,0.000186272344092347,74568.235385033,40352,60757,2.88467e+11,7148765.86042823,67.8648648648649,38685,0.154979908898976,4.10838257320144,0.154979908898976,0.154979908898976,96.04914004914,149.280098280098,0.60961128820268,0.917876512622181,0.0943413209702062
"405","神奈川中央交通","9081","BBB","+","NonSP","General",0.000534523809523809,63420.9354120267,0.00437746031746032,7744.2164043803,13.2542212776007,4.23430446755272,40,3.17460317460317e-06,10678500,8738,17133,4.2714e+10,4888303.95971618,16.3868613138686,40,0.000384978152489846,6.0644370513045,0.000384978152489846,0.000384978152489846,1.09732360097324,41.6861313868613,1.15965494359655,2.27378898473789,0.15103014380531
"406","日本郵船","9101","A","","NonSP","General",0.00100213402599668,58674.7864803014,0.00392467504855397,14982.132093118,27.2523599426226,8.01785949526695,159336,0.000936966911747627,62755.6846061154,196298,319486,9.99924e+11,5093908.24155111,10.6657904618851,159336,0.109278853935482,4.56379309265508,0.109278853935482,0.109278853935482,10.9722117912129,19.9953686318688,0.841826735454432,1.37012020704946,0.336631082529475
"407","商船三井","9104","A","","J1","General",0.000831585468558533,67942.505173806,0.00579588867188399,9748.28938210684,17.3617084614812,4.78693274682316,98898,0.000819855249763259,68914.6041527635,122014,218110,6.81552e+11,5585850.8040061,8.01350055919476,98898,0.0708230897967572,6.40231534546788,0.0708230897967572,0.0708230897967572,8.90046333280077,17.4237098578048,1.51815353987806,2.71382356600722,0.182058140012011
"408","川崎汽船","9107","BBB","+","J2","General",0.00121200922363567,30692.8357264567,0.00336563722102958,11052.8846566001,52.1801699405117,11.6820301085154,33397,0.000355520860415625,104635.210312304,127218,177394,3.4945e+11,2746859.72110865,11.3219968178202,-8321,0.0507209399100306,3.71177153680508,0.0507209399100306,-0.0126373309276691,4.32110182975338,17.6406125696102,3.58967268623025,5.00547404063205,0.492714893221481
"409","飯野海運","9119","BBB","+","NonSP","General",7.49127640036731e-05,60336.8472664869,0.000733103764921947,6165.56648086679,10.2320331117522,3.32151247297556,19282,0.000177061524334252,25527.8498081112,9782,20865,49222800000,5031977.10079738,6.49522292993631,19282,0.116313579770292,7.94517133956386,0.116313579770292,0.116313579770292,16.3519108280255,16.6122611464968,0.734053729551253,1.56573615488519,0.127649856782133
"410","日本航空","9201","A","","NonSP","General",0.00092436007855544,24698.1674453942,0.00224533820130003,10167.7333003917,42.6486000977351,19.1753441286133,219519,0.000502166908578076,45462.9717928744,417050,607635,9.97999e+11,2392996.04363985,138.051930304066,219519,0.19499904063446,1.85266483991212,0.19499904063446,0.19499904063446,75.9979501195764,207.59651520328,0.866642422983012,1.26268377578056,0.410653658613437
"411","ANAホールディングス","9202","A","-","NonSP","General",0.00112611862704489,22768.4716194451,0.00209030241473725,12266.1677177572,54.1455651274333,17.0009941135634,270441,0.000558423695416425,45914.957066569,562810,814737,1.24173e+12,2206304.0813063,32.6785307687698,136267,0.123176151173981,2.69481194544988,0.123176151173981,0.0620647187076845,17.2047456408413,48.8188028042423,0.772366035711002,1.11809524855115,0.540854030626709
"412","三菱倉庫","9301","AA","","J1","General",0.000637909601919102,50790.8956104864,0.00371562362612711,8719.93594081309,17.3398847324588,10.4731400755187,40176,0.000456749232177324,70936.0798387097,62129,77070,2.84993e+11,4587117.12726746,98.7869718309859,40176,0.1922922290506,2.71093810821331,0.1922922290506,0.1922922290506,71.7323943661972,135.68661971831,2.84291205271346,3.52658552210122,0.202643574125264
"413","三井倉庫ホールディングス","9302","A","","NonSP","General",0.000765180985799061,33207.829875,0.00275404872772184,9226.41627369435,30.3677948259913,7.98754882095557,21257,0.000854277952475348,29744.4174069718,25269,37459,63227708082,2502184.81467411,19.6491228070175,14466,0.1251574993229,4.53407725780186,0.1251574993229,0.0851732786943159,22.937048503612,38.6573787409701,0.71250528690258,1.05622444663753,0.409642460545833
"414","住友倉庫","9303","AA","-","J1","General",0.000162462901881082,97991.6018713798,0.002367583716623,6724.1550481296,7.12641366645675,3.8588065381353,20605,0.000248592610519805,64040.5198155787,17001,26094,1.31955e+11,7761602.25869067,33.749373433584,4817,0.134914814766314,5.85291637924427,0.134914814766314,0.0315401437869125,52.6416040100251,65.3984962406015,0.821502778448901,1.26088427156318,0.0923422872925476
"415","澁澤倉庫","9304","A","-","NonSP","General",0.000269356561125638,77815.0712661625,0.00317070588701468,6610.51537004414,8.55633949818394,3.92635803710835,6952,0.000456835036093056,45880.89429229,5670,8833,31896397712,5625466.9686067,30.362962962963,3681,0.123822245970256,6.35627759538096,0.123822245970256,0.0655623831151483,52.4962962962963,65.4296296296296,0.805054664205594,1.25415305977566,0.122247016590667
"416","東陽倉庫","9306","BBB","","NonSP","General",4.35601283490409e-05,72084.2687799183,0.000537826453346302,5838.31453522459,8.09929078014184,3.99375174857782,3079,7.82963427826602e-05,40104.0443065931,2306,3681,12348035242,5354742.08239376,50.3823529411765,1924,0.141621820523435,5.90627546862266,0.141621820523435,0.0884963893105193,91.5588235294118,108.264705882353,1.22010582010582,1.94761904761905,0.112463117852179
"417","中央倉庫","9319","BBB","+","NonSP","General",0.000101285624569595,97940.8483894355,0.00213045997573446,4656.27146859689,4.78112310587303,3.79326601972263,2902,0.000152216925168806,65170.1510130944,2555,3994,18912377824,7402104.82348337,48.275,601,0.282076205287714,2.57586379569354,0.282076205287714,0.0584175738724728,73.55,99.85,1.03357605177994,1.61569579288026,0.0644583480498511
"418","安田倉庫","9324","A","-","NonSP","General",0.000135408432147563,70158.1123814157,0.00251103425559947,3783.30163310815,5.41327047917517,2.79467848621016,3943,0.000129874835309618,73147.3497337053,5790,8964,2.8842e+10,4981347.15025907,12.0557184750733,-5275,0.0556410075495661,7.90551093261937,0.0556410075495661,-0.0744373103788894,12.5630498533724,26.2873900293255,0.91123701605288,1.41076487252125,0.0800210072419703
"419","朝日放送グループホールディングス","9405","A","-","NonSP","General",6.11957067386991e-06,1152041.6015625,0.00166614873425286,4231.31492109039,0.387667332969895,0.214983330394108,5952,0.000142280018167475,49550.1764112903,897,4009,29492265000,32878779.264214,8.82758620689655,-164,0.12053951152335,12.3167872287353,0.12053951152335,-0.00332131718579124,206.241379310345,138.241379310345,0.0345651419983816,0.154483449578051,0.0129259101814959
"420","スカパーJSATホールディングス","9412","A","","J1","General",6.68685889357882e-05,61912.4773812038,0.000791226184785843,5232.38497360973,8.48968405414751,5.15784504938169,57948,0.000194845929081865,21247.5570801408,23379,46702,1.23125e+11,5266478.46357843,15.6713947990544,46504,0.385669504103079,3.2172712089418,0.385669504103079,0.309504635514765,46.6643026004728,36.8022064617809,0.445110806488462,0.889155433706496,0.10071576734438
"421","日本電信電話","9432","AAA","","NonSP","General",0.000289135356295386,96944.2144991914,0.00210291895464613,13329.0918977506,14.9133901392716,4.91109008245937,3009064,0.000771398823746665,36336.5863897212,1694377,3227229,1.09339e+13,6453050.29518224,26.7327802796871,3009064,0.203832304518038,4.57434195094305,0.203832304518038,0.203832304518038,72.3217350082958,76.4927470964684,0.141860500942484,0.270197436931753,0.172318258162575
"422","日本電信電話","9432","A","","SP","General",0.000289135356295386,96944.2144991914,0.00210291895464613,13329.0918977506,14.9133901392716,4.91109008245937,3009064,0.000771398823746665,36336.5863897212,1694377,3227229,1.09339e+13,6453050.29518224,26.7327802796871,3009064,0.203832304518038,4.57434195094305,0.203832304518038,0.203832304518038,72.3217350082958,76.4927470964684,0.141860500942484,0.270197436931753,0.172318258162575
"423","ソフトバンク","9434","AA","-","J1","General",0.000114414746273508,124983.88945264,0.000574601333846744,24886.8200570764,36.2197892888034,4.47971890933419,1338949,0.000279696761316307,51126.7986540189,885640,1581982,6.84562e+12,7729574.09331105,8.51025481665631,1338949,0.14129956226071,5.98992908895297,0.14129956226071,0.14129956226071,21.8040553138595,24.5802050963331,0.353725835717427,0.631845789530652,0.39730262721095
