feet	Rank	RankPrev	Player	Roundsp	percentMade	Attempts	Putts_made
07	104	103	Kevin Tway	59	60.98	41	25
07	T105	104	Rickie Fowler	53	60.71	28	17
07	T105	T101	Matthew Wolff	46	60.71	28	17
07	T107	108	Tom Hoge	79	60.38	53	32
07	T107	T105	Robert Streb	59	60.38	53	32
07	T109	110	Stewart Cink	51	60.00	40	24
07	T109	T105	Harry Higgs	64	60.00	45	27
07	T109	132	David Lipsky	70	60.00	50	30
07	T109	100	Sahith Theegala	81	60.00	50	30
07	T109	T144	Aaron Wise	60	60.00	40	24
07	114	T126	Matt Jones	61	59.57	47	28
07	115	111	Callum Tarren	45	59.38	32	19
07	T116	128	Si Woo Kim	76	59.26	54	32
07	T116	T122	William McGirt	32	59.26	27	16
07	118	109	Scott Stallings	70	59.18	49	29
07	119	T114	Jimmy Walker	41	59.09	22	13
07	T120	T129	Viktor Hovland	57	58.97	39	23
07	T120	T122	Cameron Tringale	73	58.97	39	23
07	122	116	Chez Reavie	65	58.93	56	33
07	T123	T117	Kiradech Aphibarnrat	43	58.82	17	10
07	T123	T117	Brendon Todd	65	58.82	34	20
07	T123	T117	Peter Uihlein	46	58.82	17	10
07	126	T114	Sam Ryder	66	58.70	46	27
07	127	121	K.H. Lee	70	58.57	70	41
07	128	120	Charl Schwartzel	45	58.54	41	24
07	129	T122	Chesson Hadley	58	58.33	36	21
07	130	T101	Cameron Young	61	58.14	43	25
07	T131	T129	Brett Drewitt	42	57.89	19	11
07	T131	T129	Sergio Garcia	37	57.89	19	11
07	T131	T144	Marc Leishman	61	57.89	38	22
07	T131	T122	Jhonattan Vegas	61	57.89	38	22
07	T135	T147	Lucas Herbert	45	57.69	26	15
07	T135	T133	Louis Oosthuizen	33	57.69	26	15
07	137	136	Scottie Scheffler	67	57.50	40	23
07	T138	T137	Scott Gutschewski	42	57.14	21	12
07	T138	T137	Brooks Koepka	45	57.14	35	20
07	T138	T133	Taylor Moore	60	57.14	56	32
07	T138	T137	Seung-Yul Noh	47	57.14	28	16
07	T138	T137	Henrik Norlander	56	57.14	35	20
07	T138	T133	Erik van Rooyen	47	57.14	28	16
07	144	143	Talor Gooch	72	56.82	44	25
07	145	T144	Luke Donald	51	56.76	37	21
07	146	T112	Cameron Champ	40	56.67	30	17
07	147	T159	Adam Svensson	72	56.60	53	30
07	148	173	Billy Horschel	56	56.52	23	13
07	T149	T179	Patrick Cantlay	43	56.25	16	9
07	T149	149	Doc Redman	65	56.25	48	27
07	T151	T150	Tommy Fleetwood	47	56.00	25	14
07	T151	T147	Chris Kirk	66	56.00	50	28
07	T151	T150	Sebastián Muñoz	62	56.00	50	28
07	T151	T150	Andrew Novak	54	56.00	25	14
07	T155	T153	Michael Gligic	53	55.56	27	15
07	T155	T179	Joaquin Niemann	58	55.56	18	10
07	157	T153	Shane Lowry	43	55.17	29	16
07	T158	T167	Rory McIlroy	34	55.00	20	11
07	T158	156	Dylan Wu	53	55.00	20	11
07	160	157	Jim Herman	43	54.55	44	24
07	T161	158	J.J. Spaun	73	54.29	35	19
07	T161	T167	Will Zalatoris	61	54.29	35	19
07	163	T159	Michael Thompson	64	54.17	48	26
07	164	161	Hideki Matsuyama	53	54.05	37	20
07	165	162	Nick Taylor	66	54.00	50	27
07	T166	T169	Charles Howell III	46	53.66	41	22
07	T166	T163	Andrew Putnam	66	53.66	41	22
07	168	165	Kramer Hickok	67	53.49	43	23
07	169	166	Mark Hubbard	48	53.33	30	16
07	170	T179	Sepp Straka	79	53.06	49	26
07	T171	186	Francesco Molinari	45	52.94	34	18
07	T171	175	Mito Pereira	74	52.94	51	27
07	173	T169	Webb Simpson	45	52.78	36	19
07	174	T171	Vaughn Taylor	39	52.63	19	10
07	175	174	Nick Hardy	39	52.17	23	12
07	176	176	Kevin Chappell	43	51.72	29	15
07	177	187	Kurt Kitayama	54	51.52	33	17
07	178	177	John Huh	53	51.35	37	19
07	179	T163	Emiliano Grillo	62	51.22	41	21
07	180	178	Chad Ramey	65	50.94	53	27
07	T181	T179	Tony Finau	55	50.00	30	15
07	T181	T179	Zach Johnson	48	50.00	40	20
07	T181	T153	Danny Lee	46	50.00	32	16
07	T181	T179	Hudson Swafford	64	50.00	38	19
07	T181	T171	Brandon Wu	56	50.00	26	13
07	186	T193	Keith Mitchell	65	49.02	51	25
07	187	185	Branden Grace	50	48.57	35	17
07	188	189	Austin Cook	47	47.62	21	10
07	189	190	Charley Hoffman	51	47.06	34	16
07	190	196	Camilo Villegas	58	46.88	32	15
07	T191	T191	Joseph Bramlett	63	46.43	28	13
07	T191	T191	Kyle Stanley	47	46.43	28	13
07	193	T193	Ben Kohles	47	45.83	24	11
07	194	195	Hayden Buckley	61	45.71	35	16
07	195	188	Ryan Palmer	55	45.16	31	14
07	196	198	Roger Sloan	54	43.59	39	17
07	197	199	Russell Henley	61	41.46	41	17
07	198	200	Tyler Duncan	61	41.03	39	16
07	T199	201	Jonathan Byrd	39	40.00	15	6
07	T199	197	Danny Willett	44	40.00	20	8
07	201	202	James Hahn	51	38.24	34	13
06	T1	T1	Jonathan Byrd	39	89.47	19	17
06	T1	T1	Nick Hardy	39	89.47	19	17
06	3	3	Justin Rose	43	88.46	26	23
06	4	5	Corey Conners	64	86.79	53	46
06	5	4	Lucas Herbert	45	83.78	37	31
06	6	12	Abraham Ancer	59	83.33	36	30
06	7	11	Bill Haas	78	82.98	47	39
06	8	9	Adam Schenk	75	82.76	58	48
06	9	13	Vaughn Taylor	39	82.61	23	19
06	10	8	Billy Horschel	56	82.50	40	33
06	11	14	Matthias Schwab	54	82.35	34	28
06	T12	6	Shane Lowry	43	82.14	28	23
06	T12	15	Dawie van der Walt	44	82.14	28	23
06	14	10	William McGirt	32	81.48	27	22
06	T15	7	Adam Svensson	72	81.13	53	43
06	T15	16	Brendon Todd	65	81.13	53	43
06	17	26	K.H. Lee	70	80.70	57	46
06	18	18	Brooks Koepka	45	80.56	36	29
06	19	17	Matt Kuchar	59	80.49	41	33
06	T20	T20	Tommy Fleetwood	47	80.00	30	24
06	T20	T20	James Hahn	51	80.00	35	28
06	T20	22	Marc Leishman	61	80.00	55	44
06	23	19	Max Homa	63	79.55	44	35
06	24	32	Luke Donald	51	79.31	29	23
06	25	T23	Adam Hadwin	66	79.25	53	42
06	26	43	Carlos Ortiz	55	79.17	48	38
06	T27	48	Denny McCarthy	80	78.95	76	60
06	T27	T33	Cameron Smith	44	78.95	38	30
06	T27	60	Brandt Snedeker	53	78.95	38	30
06	30	T30	Webb Simpson	45	78.79	33	26
06	31	28	Patrick Rodgers	65	78.72	47	37
06	T32	T33	Harold Varner III	54	78.38	37	29
06	T32	T39	Matthew Wolff	46	78.38	37	29
06	34	T35	Chesson Hadley	58	78.26	46	36
06	35	38	Kevin Tway	59	78.00	50	39
06	36	T30	Lanto Griffin	72	77.94	68	53
06	T37	T39	Kelly Kraft	47	77.78	27	21
06	T37	T39	J.J. Spaun	73	77.78	72	56
06	39	25	Jason Day	48	77.14	35	27
06	T40	44	Christiaan Bezuidenhout	61	77.08	48	37
06	T40	T35	David Lipsky	70	77.08	48	37
06	T42	T45	Austin Cook	47	76.92	39	30
06	T42	T23	Kramer Hickok	67	76.92	52	40
06	T42	T45	Ben Kohles	47	76.92	26	20
06	T42	T45	Jason Kokrak	55	76.92	52	40
06	46	T35	Si Woo Kim	76	76.71	73	56
06	47	T63	Francesco Molinari	45	76.67	30	23
06	48	50	Justin Thomas	53	76.60	47	36
06	49	51	Sung Kang	66	76.56	64	49
06	50	T90	J.T. Poston	58	76.32	38	29
06	51	52	Beau Hossler	56	76.27	59	45
