Rank,Feet,Player,% Made,Attempts,Putts_made
123,4,Brendon Todd,0.9096,188,171
124,4,Tom Kim,0.9091,132,120
124,4,Matt Wallace,0.9091,121,110
126,4,Joel Dahmen,0.9085,153,139
127,4,Troy Merritt,0.9083,120,109
128,4,Viktor Hovland,0.9082,98,89
129,4,Rico Hoey,0.9077,130,118
129,4,J.T. Poston,0.9077,130,118
131,4,Henrik Norlander,0.9074,108,98
132,4,Kevin Dougherty,0.907,86,78
132,4,Hayden Springer,0.907,129,117
134,4,Max Greyserman,0.9063,128,116
135,4,Scottie Scheffler,0.9052,116,105
136,4,Kurt Kitayama,0.9048,126,114
136,4,Austin Smotherman,0.9048,63,57
138,4,Alex Noren,0.9043,94,85
139,4,Paul Barjon,0.9032,93,84
140,4,Jordan Spieth,0.9029,103,93
141,4,Si Woo Kim,0.9024,164,148
142,4,Brandon Wu,0.9023,133,120
143,4,Kevin Kisner,0.9,90,81
143,4,Kevin Tway,0.9,70,63
145,4,Joseph Bramlett,0.8993,149,134
145,4,Nico Echavarria,0.8993,139,125
147,4,Daniel Berger,0.8992,119,107
148,4,Keegan Bradley,0.8976,127,114
149,4,Chan Kim,0.897,165,148
150,4,Sam Burns,0.896,125,112
151,4,Rafael Campos,0.8958,96,86
152,4,Matthieu Pavon,0.8957,115,103
153,4,Rickie Fowler,0.8944,142,127
154,4,David Lipsky,0.8942,104,93
155,4,Ludvig Åberg,0.8929,112,100
155,4,Kevin Yu,0.8929,112,100
157,4,Byeong Hun An,0.8899,109,97
158,4,Bud Cauley,0.8889,108,96
158,4,Robby Shelton,0.8889,126,112
160,4,Tyson Alexander,0.887,115,102
161,4,Taylor Montgomery,0.8866,97,86
162,4,Ryan Brehm,0.8864,88,78
163,4,Hideki Matsuyama,0.8852,122,108
164,4,"Blaine Hale, Jr.",0.8846,52,46
165,4,Alex Smalley,0.8833,120,106
166,4,Patton Kizzire,0.8824,102,90
167,4,Ben Kohles,0.8819,127,112
168,4,Wesley Bryan,0.881,84,74
169,4,Tony Finau,0.8807,109,96
170,4,Raul Pereda,0.8806,67,59
171,4,Callum Tarren,0.8803,117,103
172,4,Stephan Jaeger,0.879,124,109
173,4,Shane Lowry,0.875,88,77
174,4,Erik van Rooyen,0.8731,134,117
175,4,Webb Simpson,0.8667,120,104
176,4,Cameron Young,0.8655,119,103
177,4,Ryan Moore,0.8641,103,89
178,4,Tom Whitney,0.8627,102,88
179,4,Josh Teater,0.8602,93,80
180,4,Ryan Palmer,0.8553,76,65
181,4,Nate Lashley,0.8548,124,106
182,4,Chris Kirk,0.85,120,102
183,4,Jhonattan Vegas,0.8468,111,94
184,4,Alejandro Tosti,0.8158,114,93
1,3,Sam Burns,1,696,696
1,3,Jake Knapp,1,768,768
1,3,Collin Morikawa,1,717,717
1,3,Henrik Norlander,1,551,551
1,3,Kevin Tway,1,524,524
1,3,Sami Valimaki,1,605,605
7,3,Doug Ghim,0.9989,888,887
8,3,Ben Silverman,0.9987,765,764
8,3,Carson Young,0.9987,770,769
10,3,Adrien Dumont de Chassart,0.9986,705,704
10,3,Rickie Fowler,0.9986,737,736
10,3,Billy Horschel,0.9986,728,727
10,3,Matt NeSmith,0.9986,706,705
10,3,Xander Schauffele,0.9986,735,734
10,3,Sepp Straka,0.9986,739,738
16,3,Max Greyserman,0.9985,668,667
16,3,Russell Henley,0.9985,688,687
16,3,Nate Lashley,0.9985,675,674
19,3,Jason Day,0.9984,620,619
19,3,Tyler Duncan,0.9984,642,641
19,3,Chesson Hadley,0.9984,641,640
19,3,Troy Merritt,0.9984,644,643
23,3,Nicolai Højgaard,0.998,509,508
23,3,Patrick Rodgers,0.998,1003,1001
25,3,Rafael Campos,0.9979,483,482
25,3,Taylor Montgomery,0.9979,475,474
27,3,Kevin Chappell,0.9978,455,454
28,3,Mackenzie Hughes,0.9977,866,864
28,3,Si Woo Kim,0.9977,865,863
28,3,Denny McCarthy,0.9977,857,855
28,3,Aaron Rai,0.9977,857,855
32,3,Justin Lower,0.9976,850,848
32,3,Nick Taylor,0.9976,823,821
32,3,Martin Trainer,0.9976,418,417
35,3,Keith Mitchell,0.9975,806,804
36,3,Chris Kirk,0.9973,753,751
37,3,Mac Meissner,0.9972,706,704
38,3,Hayden Buckley,0.9971,682,680
38,3,Robert MacIntyre,0.9971,692,690
38,3,Rory McIlroy,0.9971,691,689
38,3,Alex Noren,0.9971,700,698
38,3,Victor Perez,0.9971,693,691
38,3,Adam Scott,0.9971,678,676
38,3,Brandon Wu,0.9971,700,698
45,3,Eric Cole,0.997,1005,1002
45,3,Matt Fitzpatrick,0.997,656,654
47,3,Callum Tarren,0.9969,653,651
48,3,Jacob Bridgeman,0.9968,628,626
48,3,Patrick Fishburn,0.9968,618,616
50,3,Ben Taylor,0.9967,609,607
50,3,Brendon Todd,0.9967,919,916
52,3,Trace Crowe,0.9966,580,578
52,3,Sahith Theegala,0.9966,881,878
52,3,Vince Whaley,0.9966,596,594
55,3,Akshay Bhatia,0.9964,844,841
55,3,Parker Coody,0.9964,556,554
55,3,Harris English,0.9964,822,819
58,3,Christiaan Bezuidenhout,0.9962,784,781
58,3,Cameron Champ,0.9962,530,528
58,3,Chandler Phillips,0.9962,781,778
61,3,Adam Hadwin,0.9961,774,771
61,3,Chan Kim,0.9961,762,759
61,3,Taylor Pendrith,0.9961,764,761
61,3,Chad Ramey,0.9961,761,758
65,3,Ben Griffin,0.996,1011,1007
66,3,Erik Barnes,0.9959,490,488
66,3,Lee Hodges,0.9959,965,961
66,3,Tom Hoge,0.9959,969,965
66,3,Max Homa,0.9959,728,725
66,3,Matt Kuchar,0.9959,723,720
71,3,Seamus Power,0.9958,946,942
72,3,Daniel Berger,0.9957,690,687
73,3,Scottie Scheffler,0.9956,682,679
73,3,Davis Thompson,0.9956,902,898
75,3,David Lipsky,0.9955,674,671
76,3,Tyson Alexander,0.9954,655,652
76,3,Pierceson Coody,0.9954,649,646
76,3,Austin Eckroat,0.9954,879,875
79,3,Joe Highsmith,0.9953,634,631
79,3,Maverick McNealy,0.9953,859,855
79,3,Sam Stevens,0.9953,853,849
79,3,Josh Teater,0.9953,427,425
79,3,Matt Wallace,0.9953,634,631
84,3,Tony Finau,0.9952,836,832
84,3,Nick Hardy,0.9952,832,828
84,3,C.T. Pan,0.9952,619,616
87,3,Patrick Cantlay,0.9951,616,613
87,3,Stephan Jaeger,0.9951,824,820
89,3,Zac Blair,0.995,797,793
89,3,Greyson Sigg,0.995,794,790
89,3,Gary Woodland,0.995,802,798
92,3,Mark Hubbard,0.9949,973,968
92,3,Andrew Putnam,0.9949,788,784
92,3,Cameron Young,0.9949,789,785
95,3,Ryo Hisatsune,0.9948,762,758
95,3,Raul Pereda,0.9948,382,380
95,3,Erik van Rooyen,0.9948,762,758
98,3,Harry Hall,0.9947,756,752
99,3,Viktor Hovland,0.9946,559,556
99,3,Luke List,0.9946,742,738
99,3,Justin Rose,0.9946,560,557
102,3,Brian Harman,0.9943,871,866
102,3,Garrick Higgo,0.9943,701,697
102,3,Shane Lowry,0.9943,698,694
105,3,Justin Thomas,0.9942,689,685
106,3,Min Woo Lee,0.9941,677,673
107,3,Paul Barjon,0.9939,492,489
107,3,Joel Dahmen,0.9939,822,817
107,3,Taylor Moore,0.9939,982,976
110,3,Aaron Baddeley,0.9938,643,639
110,3,Wyndham Clark,0.9938,650,646
110,3,Wilson Furr,0.9938,485,482
113,3,Chez Reavie,0.9937,632,628
114,3,Jorge Campillo,0.9936,467,464
114,3,Cam Davis,0.9936,785,780
114,3,Kurt Kitayama,0.9936,786,781
114,3,Martin Laird,0.9936,623,619
118,3,Brice Garnett,0.9935,463,460
119,3,Zach Johnson,0.9934,455,452
120,3,Nico Echavarria,0.9933,751,746
120,3,Thorbjørn Olesen,0.9933,448,445
122,3,Ludvig Åberg,0.9932,735,730
122,3,Lucas Glover,0.9932,878,872
122,3,Andrew Novak,0.9932,886,880
125,3,Bud Cauley,0.9931,580,576
125,3,Kevin Dougherty,0.9931,578,574
125,3,Tommy Fleetwood,0.9931,729,724
125,3,K.H. Lee,0.9931,725,720
129,3,"Blaine Hale, Jr.",0.993,429,426
129,3,Peter Malnati,0.993,711,706
129,3,Adam Schenk,0.993,860,854
129,3,Jordan Spieth,0.993,719,714
133,3,Chris Gotterup,0.9929,705,700
133,3,J.J. Spaun,0.9929,847,841
133,3,Adam Svensson,0.9929,1121,1113
136,3,Ryan Palmer,0.9928,415,412
136,3,Roger Sloan,0.9928,556,552
136,3,Brandt Snedeker,0.9928,553,549
139,3,Thomas Detry,0.9927,688,683
140,3,Ryan Brehm,0.9926,537,533
140,3,S.H. Kim,0.9926,940,933
140,3,Tom Kim,0.9926,810,804
