Rank,Player,Position,Team,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,Check,HR_all,AB_all,AVG_all,OBP_all,OPS_all,Rank_all
264,DaneMyers,CF,MIA,17,45,3,11,1,0,1,5,8,14,4,1,0.244,0.37,0.333,0.703,72,6,307,0.235,0.291,0.617,282
264,JamesOutman,DH,LAD,12,29,4,6,1,2,1,6,5,15,2,0,0.207,0.333,0.483,0.816,18,6,134,0.134,0.216,0.537,282
264,AnthonySantander,LF,TOR,16,44,7,13,2,0,1,9,7,10,0,0,0.295,0.404,0.409,0.813,34,6,194,0.175,0.271,0.565,282
264,TreySweeney,SS,DET,20,49,5,10,1,0,1,4,7,15,0,0,0.204,0.304,0.286,0.59,58,6,296,0.196,0.258,0.549,282
264,ColbyThomas,LF,ATH,16,22,4,4,1,0,1,3,5,6,1,0,0.182,0.379,0.364,0.743,27,6,120,0.225,0.267,0.684,282
264,ColbyThomas,LF,ATH,16,22,4,4,1,0,1,3,5,6,1,0,0.182,0.379,0.364,0.743,27,6,120,0.225,0.267,0.684,282
264,AustinWynns,C,CIN,14,23,3,5,1,0,1,4,3,6,0,0,0.217,0.296,0.391,0.687,30,6,103,0.291,0.321,0.865,282
264,Travisd'Arnaud,C,LAA,12,25,4,5,2,0,1,1,2,9,0,0,0.2,0.31,0.4,0.71,42,6,213,0.197,0.255,0.598,282
586,LiamHicks,C,MIA,15,30,2,6,1,0,0,3,7,6,0,0,0.2,0.4,0.233,0.633,82,6,332,0.247,0.346,0.692,282
586,AmedRosario,2B,WSH,13,41,1,7,1,0,0,3,0,3,0,0,0.171,0.167,0.195,0.362,50,6,181,0.276,0.309,0.745,282
586,JavierSanoja,2B,MIA,15,37,8,11,3,0,0,7,5,5,0,0,0.297,0.381,0.378,0.759,76,6,313,0.243,0.287,0.683,282
586,JordanWalker,RF,STL,12,31,2,5,2,0,0,5,2,13,0,0,0.161,0.2,0.226,0.426,78,6,363,0.215,0.278,0.584,282
16,VictorScott,CF,STL,16,43,11,15,2,1,4,7,8,9,5,2,0.349,0.451,0.721,1.172,86,5,398,0.216,0.305,0.601,305
48,AustinHedges,C,CLE,18,43,5,5,1,0,3,4,2,17,0,0,0.116,0.156,0.349,0.505,25,5,155,0.161,0.25,0.527,305
48,DominicSmith,1B,NYY,13,37,3,11,1,0,3,12,0,8,0,0,0.297,0.289,0.568,0.857,58,5,204,0.284,0.333,0.75,305
116,JeremiahJackson,SS,BAL,11,15,3,5,0,0,2,7,1,1,1,0,0.333,0.375,0.733,1.108,47,5,170,0.276,0.328,0.775,305
116,GavinLux,3B,CIN,17,40,7,12,3,0,2,7,9,12,3,0,0.3,0.44,0.525,0.965,120,5,446,0.269,0.35,0.724,305
