Rank,Feet,Player,%Made,Attempts,Putts_made,LastSeason
93,10,Viktor Hovland,37.50%,16,6,13
96,10,Collin Morikawa,36.84%,19,7,5
97,10,Andrew Novak,36.36%,11,4,-
97,10,Davis Riley,36.36%,11,4,2
99,10,Eric Cole,35.71%,14,5,-
99,10,Max Greyserman,35.71%,14,5,13
101,10,Doug Ghim,35.29%,17,6,1
101,10,Tom Kim,35.29%,17,6,1
101,10,Sami Valimaki,35.29%,17,6,1
104,10,Nick Taylor,35.00%,20,7,10
104,10,Davis Thompson,35.00%,20,7,-
104,10,Matt Wallace,35.00%,20,7,2
107,10,Si Woo Kim,34.78%,23,8,12
108,10,Denny McCarthy,34.62%,26,9,3
109,10,Cam Davis,33.33%,12,4,3
109,10,Steven Fisk,33.33%,21,7,3
109,10,Garrick Higgo,33.33%,12,4,3
109,10,Rico Hoey,33.33%,27,9,3
109,10,Mackenzie Hughes,33.33%,12,4,3
114,10,Matti Schmid,31.82%,22,7,-
115,10,Ryan Gerard,31.58%,19,6,1
116,10,Tom Hoge,30.77%,13,4,21
116,10,Mark Hubbard,30.77%,13,4,1
116,10,Takumi Kanaya,30.77%,26,8,1
116,10,Seamus Power,30.77%,13,4,1
116,10,Aaron Rai,30.77%,13,4,1
121,10,Pierceson Coody,30.43%,23,7,7
122,10,Keegan Bradley,30.00%,20,6,6
122,10,Dan Brown,30.00%,10,3,2
124,10,Joe Highsmith,29.63%,27,8,1
125,10,Kurt Kitayama,29.03%,31,9,27
126,10,Ricky Castillo,28.57%,14,4,9
127,10,Daniel Berger,27.27%,33,9,1
128,10,Joel Dahmen,26.67%,15,4,11
128,10,Jeffrey Kang,26.67%,15,4,1
130,10,Chris Kirk,26.09%,23,6,-
131,10,Lucas Glover,25.00%,16,4,-
131,10,Billy Horschel,25.00%,20,5,-
131,10,Adam Svensson,25.00%,12,3,-
134,10,Michael Thorbjornsen,24.00%,25,6,8
135,10,David Ford,23.81%,21,5,1
136,10,Christiaan Bezuidenhout,23.53%,17,4,1
137,10,Ludvig Åberg,22.22%,18,4,1
137,10,Lee Hodges,22.22%,18,4,1
139,10,Nicolai Højgaard,21.43%,14,3,1
140,10,Brooks Koepka,21.05%,19,4,1
141,10,Adrien Saddier,20.00%,10,2,1
142,10,Haotong Li,14.29%,14,2,1
143,10,Beau Hossler,10.00%,10,1,1
143,10,Marcelo Rozo,10.00%,10,1,1
145,10,Kristoffer Reitan,8.33%,12,1,3
146,10,Austin Eckroat,0.00%,16,0,1
1,9,Christiaan Bezuidenhout,76.92%,13,10,-
2,9,Zecheng Dou,75.00%,16,12,-
3,9,Brian Campbell,71.43%,14,10,1
4,9,Beau Hossler,68.75%,16,11,2
4,9,Davis Riley,68.75%,16,11,2
6,9,Sam Burns,68.42%,19,13,2
6,9,Viktor Hovland,68.42%,19,13,36
6,9,Karl Vilips,68.42%,19,13,2
6,9,Vince Whaley,68.42%,19,13,2
10,9,S.H. Kim,66.67%,15,10,1
11,9,Sam Ryder,64.29%,14,9,2
11,9,Adam Svensson,64.29%,14,9,2
13,9,Tommy Fleetwood,63.64%,11,7,8
13,9,Rickie Fowler,63.64%,22,14,1
13,9,Kensei Hirata,63.64%,11,7,2
16,9,Eric Cole,63.16%,19,12,1
16,9,Marco Penge,63.16%,19,12,1
18,9,Akshay Bhatia,62.96%,27,17,8
19,9,Pierceson Coody,62.50%,16,10,5
20,9,A.J. Ewart,61.90%,21,13,1
21,9,Austin Eckroat,61.54%,13,8,1
21,9,Jimmy Stanger,61.54%,13,8,1
23,9,Michael Kim,61.29%,31,19,13
24,9,Mackenzie Hughes,61.11%,18,11,1
25,9,Nicolai Højgaard,60.87%,23,14,10
26,9,J.J. Spaun,59.09%,22,13,4
26,9,Jhonattan Vegas,59.09%,22,13,2
28,9,Robert MacIntyre,58.82%,17,10,1
29,9,Sam Stevens,58.33%,24,14,28
30,9,Nico Echavarria,57.69%,26,15,9
30,9,Steven Fisk,57.69%,26,15,1
32,9,Doug Ghim,57.14%,14,8,2
32,9,Kristoffer Reitan,57.14%,14,8,12
34,9,Ludvig Åberg,56.52%,23,13,-
34,9,Corey Conners,56.52%,23,13,18
36,9,Denny McCarthy,56.25%,32,18,1
36,9,Maverick McNealy,56.25%,32,18,3
36,9,Rasmus Neergaard-Petersen,56.25%,16,9,1
36,9,Sepp Straka,56.25%,16,9,11
40,9,Jordan Smith,55.56%,18,10,13
41,9,Jordan Spieth,54.84%,31,17,11
42,9,Luke Clanton,54.55%,11,6,4
43,9,Harris English,54.17%,24,13,35
44,9,Kevin Roy,54.05%,37,20,3
45,9,Ben Griffin,53.85%,26,14,6
45,9,Thorbjørn Olesen,53.85%,13,7,3
47,9,Pontus Nyholm,53.33%,15,8,-
47,9,Danny Walker,53.33%,15,8,-
47,9,Cameron Young,53.33%,15,8,5
50,9,Peter Malnati,52.94%,17,9,1
51,9,Max Greyserman,52.38%,21,11,4
52,9,Jacob Bridgeman,52.17%,23,12,2
52,9,Kurt Kitayama,52.17%,23,12,18
54,9,Ryan Gerard,51.85%,27,14,15
54,9,Chandler Phillips,51.85%,27,14,2
56,9,Daniel Berger,50.00%,28,14,14
56,9,Tony Finau,50.00%,20,10,1
56,9,Chris Gotterup,50.00%,30,15,12
56,9,Garrick Higgo,50.00%,20,10,1
56,9,Ryo Hisatsune,50.00%,42,21,1
56,9,Sungjae Im,50.00%,14,7,-
56,9,Si Woo Kim,50.00%,30,15,10
56,9,Christo Lamprecht,50.00%,10,5,1
56,9,Hideki Matsuyama,50.00%,20,10,29
56,9,Alex Noren,50.00%,22,11,17
56,9,Taylor Pendrith,50.00%,24,12,2
56,9,Aaron Rai,50.00%,10,5,1
56,9,Marcelo Rozo,50.00%,10,5,1
56,9,Xander Schauffele,50.00%,20,10,1
56,9,Kevin Streelman,50.00%,14,7,1
56,9,Jackson Suber,50.00%,10,5,1
72,9,Austin Smotherman,47.83%,23,11,21
73,9,Keegan Bradley,47.62%,21,10,-
73,9,Seamus Power,47.62%,21,10,3
73,9,Adam Scott,47.62%,21,10,12
73,9,Kevin Yu,47.62%,21,10,3
77,9,Shane Lowry,47.37%,19,9,1
78,9,Sahith Theegala,47.22%,36,17,1
79,9,Zach Bauchou,47.06%,34,16,4
79,9,Lucas Glover,47.06%,17,8,14
79,9,Mac Meissner,47.06%,17,8,4
82,9,David Ford,46.67%,15,7,4
83,9,Brice Garnett,46.15%,13,6,3
84,9,Sudarshan Yellamaraju,45.83%,24,11,24
85,9,Brooks Koepka,45.45%,11,5,3
85,9,Aldrich Potgieter,45.45%,22,10,33
85,9,Andrew Putnam,45.45%,22,10,8
85,9,Chad Ramey,45.45%,22,10,3
89,9,Min Woo Lee,45.00%,20,9,17
90,9,Brian Harman,44.44%,27,12,18
90,9,Stephan Jaeger,44.44%,27,12,5
90,9,Taylor Moore,44.44%,18,8,5
93,9,Jason Day,44.00%,25,11,25
94,9,Adrien Dumont de Chassart,43.75%,16,7,4
94,9,Justin Thomas,43.75%,16,7,14
96,9,Joe Highsmith,43.48%,23,10,5
96,9,Matthieu Pavon,43.48%,23,10,5
98,9,Ricky Castillo,42.86%,14,6,18
98,9,Matt Fitzpatrick,42.86%,21,9,5
98,9,Billy Horschel,42.86%,28,12,5
98,9,Max McGreevy,42.86%,21,9,5
98,9,William Mouw,42.86%,28,12,5
98,9,Adrien Saddier,42.86%,14,6,5
98,9,Matti Schmid,42.86%,21,9,5
105,9,Patrick Cantlay,42.11%,19,8,3
106,9,Bud Cauley,41.67%,24,10,3
106,9,Cam Davis,41.67%,12,5,3
106,9,Sami Valimaki,41.67%,24,10,3
109,9,Matt McCarty,41.38%,29,12,32
110,9,Joel Dahmen,41.18%,17,7,19
110,9,Harry Hall,41.18%,17,7,53
110,9,J.T. Poston,41.18%,17,7,30
113,9,Ryan Fox,40.91%,22,9,28
114,9,Wyndham Clark,40.00%,25,10,6
114,9,Rasmus Højgaard,40.00%,15,6,6
114,9,Mark Hubbard,40.00%,15,6,6
114,9,Patrick Rodgers,40.00%,30,12,15
114,9,Adam Schenk,40.00%,15,6,6
114,9,Dylan Wu,40.00%,10,4,6
120,9,Rico Hoey,38.89%,18,7,1
120,9,David Lipsky,38.89%,18,7,12
122,9,Erik van Rooyen,38.46%,13,5,1
123,9,Keith Mitchell,37.93%,29,11,16
124,9,Max Homa,37.50%,16,6,3
124,9,Jeffrey Kang,37.50%,16,6,-
126,9,Andrew Novak,37.04%,27,10,-
127,9,Collin Morikawa,36.84%,19,7,8
128,9,Tom Kim,36.36%,22,8,1
128,9,Alex Smalley,36.36%,33,12,20
130,9,Takumi Kanaya,36.00%,25,9,2
131,9,Chandler Blanchet,35.71%,14,5,49
132,9,Nick Taylor,35.00%,20,7,7
132,9,Michael Thorbjornsen,35.00%,20,7,1
134,9,Scottie Scheffler,34.78%,23,8,11
135,9,Dan Brown,33.33%,15,5,3
135,9,Emiliano Grillo,33.33%,15,5,3
135,9,Johnny Keefer,33.33%,15,5,3
135,9,Hank Lebioda,33.33%,21,7,3
139,9,Chris Kirk,31.82%,22,7,3
139,9,John Parry,31.82%,22,7,3
139,9,Gary Woodland,31.82%,22,7,1
142,9,Matt Wallace,31.25%,16,5,5
143,9,Neal Shipley,27.78%,18,5,1
144,9,Davis Chatfield,27.27%,11,3,1
144,9,Tom Hoge,27.27%,22,6,20
146,9,Davis Thompson,26.67%,15,4,2
146,9,Alejandro Tosti,26.67%,15,4,2
148,9,Jake Knapp,26.32%,19,5,2
149,9,Michael Brennan,25.00%,16,4,2
149,9,Russell Henley,25.00%,16,4,-
151,9,Haotong Li,21.05%,19,4,1
152,9,Justin Rose,18.18%,11,2,-
1,8,Pontus Nyholm,83.33%,12,10,-
2,8,Jesper Svensson,81.82%,11,9,-
3,8,Zecheng Dou,77.78%,18,14,-
4,8,David Lipsky,76.92%,13,10,-
5,8,J.T. Poston,75.00%,24,18,-
6,8,Davis Riley,73.33%,15,11,-
7,8,Akshay Bhatia,72.73%,22,16,3
8,8,Christiaan Bezuidenhout,71.43%,21,15,1
9,8,Robert MacIntyre,70.83%,24,17,1
10,8,John Parry,68.42%,19,13,-
10,8,Chandler Phillips,68.42%,19,13,-
12,8,Nicolai Højgaard,67.86%,28,19,31
13,8,Ryo Hisatsune,66.67%,36,24,4
13,8,Alex Noren,66.67%,21,14,4
13,8,Aaron Rai,66.67%,12,8,1
13,8,Jordan Smith,66.67%,33,22,16
13,8,Erik van Rooyen,66.67%,18,12,1
13,8,Kris Ventura,66.67%,15,10,1
19,8,Max Homa,65.71%,35,23,13
20,8,Denny McCarthy,65.22%,23,15,17
20,8,Vince Whaley,65.22%,23,15,4
22,8,Emiliano Grillo,65.00%,20,13,5
23,8,Joel Dahmen,64.71%,17,11,2
23,8,Davis Thompson,64.71%,17,11,4
25,8,Alex Smalley,64.29%,28,18,2
25,8,Dylan Wu,64.29%,14,9,4
27,8,Jake Knapp,64.00%,25,16,4
28,8,Jacob Bridgeman,63.64%,33,21,13
28,8,Rico Hoey,63.64%,22,14,1
28,8,Neal Shipley,63.64%,11,7,1
31,8,Andrew Putnam,62.96%,27,17,8
32,8,Keegan Bradley,62.50%,24,15,19
32,8,Patton Kizzire,62.50%,16,10,-
34,8,Harry Hall,62.07%,29,18,3
35,8,Billy Horschel,61.90%,21,13,2
36,8,Ryan Gerard,61.76%,34,21,4
37,8,Sam Stevens,61.54%,39,24,11
37,8,John VanDerLaan,61.54%,13,8,2
39,8,Matthieu Pavon,61.11%,18,11,3
39,8,Scottie Scheffler,61.11%,18,11,7
39,8,Cameron Young,61.11%,18,11,20
42,8,Brice Garnett,60.87%,23,14,1
43,8,Matti Schmid,60.71%,28,17,2
44,8,Austin Smotherman,60.47%,43,26,9
45,8,Brian Campbell,60.00%,20,12,15
45,8,Sudarshan Yellamaraju,60.00%,25,15,13
47,8,Daniel Berger,59.26%,27,16,15
47,8,Seamus Power,59.26%,27,16,2
49,8,Max Greyserman,59.09%,22,13,3
49,8,Karl Vilips,59.09%,22,13,2
51,8,Adrien Dumont de Chassart,58.82%,17,10,2
51,8,Viktor Hovland,58.82%,17,10,5
53,8,Luke Clanton,57.89%,19,11,4
54,8,Chad Ramey,57.69%,26,15,5
54,8,Sepp Straka,57.69%,26,15,6
56,8,Russell Henley,57.14%,21,12,3
56,8,Hideki Matsuyama,57.14%,35,20,16
56,8,Alejandro Tosti,57.14%,14,8,4
59,8,Kristoffer Reitan,56.76%,37,21,3
60,8,Kurt Kitayama,56.52%,23,13,59
61,8,Steven Fisk,56.25%,16,9,2
62,8,Johnny Keefer,56.00%,25,14,2
62,8,Xander Schauffele,56.00%,25,14,2
64,8,Brian Harman,55.56%,36,20,2
64,8,Min Woo Lee,55.56%,18,10,32
64,8,Shane Lowry,55.56%,18,10,32
64,8,Peter Malnati,55.56%,18,10,2
64,8,Taylor Moore,55.56%,18,10,2
69,8,Ludvig Åberg,55.00%,20,11,1
69,8,Pierceson Coody,55.00%,40,22,20
69,8,Ryan Fox,55.00%,20,11,27
72,8,A.J. Ewart,54.84%,31,17,1
73,8,Rasmus Neergaard-Petersen,54.55%,11,6,1
74,8,Bud Cauley,54.29%,35,19,45
75,8,Matt Fitzpatrick,54.17%,24,13,1
75,8,Tom Hoge,54.17%,24,13,18
75,8,Mac Meissner,54.17%,24,13,1
78,8,Sam Ryder,53.85%,13,7,2
78,8,Isaiah Salinda,53.85%,13,7,2
80,8,Davis Chatfield,53.33%,15,8,2
81,8,Thorbjørn Olesen,52.94%,17,9,1
81,8,Gary Woodland,52.94%,17,9,1
83,8,David Ford,52.63%,19,10,1
83,8,Max McGreevy,52.63%,19,10,1
83,8,Adam Scott,52.63%,19,10,17
86,8,Garrick Higgo,52.38%,21,11,2
